ano,indicador,modelo_teorico,valor,unidade,fonte_orgao,fonte_serie,efeito_esperado,fonte_url,data_consulta,status_verificacao
2001,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2001,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2001,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2001,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2001,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2002,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2002,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2002,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2002,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2002,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2002,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2002,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2002,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2003,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2003,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2003,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2003,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2003,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2003,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2003,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2003,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2004,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2004,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2004,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2004,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2004,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2004,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2004,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2004,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2005,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2005,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2005,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2005,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2005,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2005,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2005,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2005,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2006,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2006,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2006,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2006,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2006,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2006,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2006,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2006,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2007,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2007,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2007,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2007,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2007,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2007,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2007,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2007,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2008,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2008,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2008,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2008,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2008,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2008,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2008,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2008,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2009,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2009,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2009,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2009,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2009,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2009,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2009,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2009,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2010,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2010,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2010,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2010,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2010,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2010,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2010,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2010,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2011,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2011,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2011,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2011,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2011,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2011,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2011,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2011,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2012,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2012,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2012,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2012,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2012,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2012,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2012,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2012,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2013,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2013,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2013,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2013,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2013,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2013,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2013,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2013,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2014,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2014,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2014,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2014,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2014,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2014,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2014,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2014,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2015,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2015,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2015,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2015,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2015,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2015,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2015,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2015,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
2016,inflacao,grievance,,,IBGE/BCB,IPCA anual (SIDRA 1737 / BCB-SGS 433),+,,,pendente
2016,crescimento_pib_per_capita,grievance,,,IBGE,Contas Nacionais (SIDRA 6784),-,,,pendente
2016,urbanizacao,mobilizacao_recursos,,,IBGE,% população urbana (SIDRA 202/6579),+,,,pendente
2016,bonus_demografico_jovem,mobilizacao_recursos,,,IBGE,% pop. 15-24 anos (SIDRA 7358),+,,,pendente
2016,capacidade_organizacional_greves,mobilizacao_recursos,,,DIEESE,nº de greves/ano (SAG),+,,,pendente
2016,escolaridade,modernizacao,,,IBGE,taxa de escolarização líquida (PNAD/PNADC),+,,,pendente
2016,comunicacao,modernizacao,,,ANATEL/IBGE,acessos móveis por 100 hab.; domicílios com internet,+,,,pendente
2016,ano_eleitoral,oportunidade_politica,,,TSE,binário: houve eleição nacional no ano,+,,,pendente
